user_id,label,r_true,n_events
U0414,0,0.435,74
U0415,1,0.682,48
U0416,1,0.885,81
U0417,1,0.810,34
U0418,0,0.412,41
U0419,1,0.909,49
U0420,0,0.064,53
U0421,0,0.482,50
U0422,1,0.672,48
U0423,0,0.161,48
U0424,1,0.844,58
U0425,0,0.299,44
U0426,1,0.815,46
U0427,0,0.239,62
U0428,0,0.159,40
U0429,1,0.763,53
U0430,0,0.352,30
U0431,0,0.315,64
U0432,0,0.185,80
U0433,1,0.962,82
U0434,1,0.532,38
U0435,0,0.383,42
U0436,1,0.544,86
U0437,0,0.413,89
U0438,0,0.042,63
U0439,0,0.309,32
U0440,0,0.138,57
U0441,1,0.584,67
U0442,0,0.128,37
U0443,1,0.700,34
U0444,0,0.421,40
U0445,1,0.627,41
U0446,1,0.838,76
U0447,0,0.186,38
U0448,1,0.711,76
U0449,1,0.579,56
U0450,1,0.776,64
U0451,0,0.308,65
U0452,1,0.508,59
U0453,1,0.953,69
U0454,0,0.471,35
U0455,0,0.475,81
U0456,0,0.295,62
U0457,1,0.786,74
U0458,1,0.599,85
U0459,1,0.720,66
U0460,0,0.434,68
U0461,1,0.633,89
U0462,0,0.270,66
U0463,1,0.639,81
U0464,1,0.679,70
U0465,0,0.360,66
U0466,0,0.429,90
U0467,1,0.668,51
U0468,0,0.234,46
U0469,0,0.406,80
U0470,0,0.266,31
U0471,0,0.478,88
U0472,0,0.435,36
U0473,0,0.229,57
U0474,0,0.363,59
U0475,0,0.396,61
U0476,0,0.456,77
U0477,1,0.696,75
U0478,0,0.293,72
U0479,0,0.450,63
U0480,0,0.282,58
U0481,1,0.892,34
U0482,1,0.918,75
U0483,1,0.581,41
U0484,1,0.522,40
U0485,0,0.152,83
U0486,0,0.427,38
U0487,1,0.628,87
U0488,0,0.063,52
U0489,1,0.516,75
U0490,1,0.926,59
U0491,0,0.218,40
U0492,1,0.773,45
U0493,1,0.507,86
U0494,1,0.601,81
U0495,1,0.763,54
U0496,0,0.403,78
U0497,1,0.796,81
U0498,1,0.567,43
U0499,0,0.343,84
U0500,0,0.145,75
U0501,0,0.499,55
U0502,0,0.107,59
U0503,1,0.907,43
U0504,1,0.665,89
U0505,1,0.552,73
U0506,0,0.310,76
U0507,0,0.369,87
U0508,0,0.305,86
U0509,1,0.754,89
U0510,0,0.471,80
U0511,1,0.864,47
U0512,0,0.265,49
U0513,1,0.659,44
U0514,0,0.152,32
U0515,1,0.548,64
U0516,1,0.666,71
U0517,0,0.214,72
U0518,1,0.938,76
U0519,1,0.727,86
U0520,0,0.171,54
U0521,0,0.385,56
U0522,0,0.450,86
U0523,1,0.718,70
U0524,0,0.441,44
U0525,1,0.571,73
U0526,0,0.377,40
U0527,0,0.022,45
U0528,0,0.273,52
U0529,0,0.433,78
U0530,1,0.675,32
U0531,0,0.406,39
U0532,0,0.467,72
U0533,0,0.106,35
U0534,1,0.806,37
U0535,0,0.444,47
U0536,0,0.224,89
U0537,1,0.664,76
U0538,0,0.065,78
U0539,0,0.265,37
U0540,1,0.538,50
U0541,0,0.275,49
U0542,1,0.727,74
U0543,0,0.221,39
U0544,0,0.324,63
U0545,0,0.390,41
U0546,1,0.629,36
U0547,1,0.814,48
U0548,1,0.695,34
U0549,1,0.748,52
U0550,1,0.851,51
U0551,1,0.639,42
U0552,1,0.889,65
U0553,0,0.450,61
U0554,1,0.923,61
U0555,0,0.397,65
U0556,0,0.254,62
U0557,1,0.568,74
U0558,1,0.919,40
U0559,0,0.194,44
U0560,0,0.256,69
U0561,1,0.565,59
U0562,0,0.140,34
U0563,0,0.351,31
U0564,0,0.337,56
U0565,0,0.453,67
U0566,0,0.085,34
U0567,1,0.692,43
U0568,0,0.273,50
U0569,1,0.781,65
U0570,0,0.347,55
U0571,1,0.931,31
U0572,1,0.677,73
U0573,1,0.802,33
U0574,0,0.413,66
U0575,1,0.532,41
U0576,0,0.124,30
U0577,0,0.251,38
U0578,0,0.448,59
U0579,0,0.477,31
U0580,0,0.476,89
U0581,1,0.770,31
U0582,1,0.581,86
U0583,0,0.169,57
U0584,0,0.146,58
U0585,0,0.474,44
U0586,0,0.340,82
U0587,1,0.685,86
U0588,1,0.670,85
U0589,0,0.371,62
U0590,1,0.721,60
U0591,0,0.109,52
U0592,0,0.236,89
U0593,1,0.773,68
U0594,0,0.463,41
U0595,1,0.825,74
U0596,0,0.085,85
U0597,1,0.635,84
U0598,1,0.650,74
U0599,0,0.389,42
